EventId,Type,Severity,StartTimeUTC,EndTimeUTC,PrecipitationIn,TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
1,Snow,Light,2016-01-06 23:14:00,2016-01-07 00:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
2,Snow,Light,2016-01-07 04:14:00,2016-01-07 04:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
3,Snow,Light,2016-01-07 05:54:00,2016-01-07 15:34:00,0.03,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
4,Snow,Light,2016-01-08 05:34:00,2016-01-08 05:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
5,Snow,Light,2016-01-08 13:54:00,2016-01-08 15:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
6,Snow,Light,2016-01-08 16:14:00,2016-01-08 17:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
7,Fog,Severe,2016-01-09 12:54:00,2016-01-09 15:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
8,Snow,Light,2016-01-09 15:34:00,2016-01-09 16:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
9,Fog,Severe,2016-01-09 16:14:00,2016-01-09 16:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
10,Snow,Light,2016-01-09 16:34:00,2016-01-09 16:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
11,Cold,Severe,2016-01-09 16:54:00,2016-01-09 20:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
12,Fog,Severe,2016-01-10 02:54:00,2016-01-10 04:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
13,Fog,Severe,2016-01-10 09:34:00,2016-01-10 10:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
14,Snow,Light,2016-01-10 10:14:00,2016-01-10 10:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
15,Fog,Severe,2016-01-10 10:34:00,2016-01-10 10:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
16,Fog,Severe,2016-01-10 11:14:00,2016-01-10 13:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
17,Cold,Severe,2016-01-10 13:14:00,2016-01-10 21:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
18,Cold,Severe,2016-01-11 12:14:00,2016-01-11 12:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
19,Snow,Light,2016-01-16 09:14:00,2016-01-16 09:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
20,Snow,Light,2016-01-16 10:34:00,2016-01-16 11:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
21,Snow,Light,2016-01-16 13:24:00,2016-01-16 14:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
22,Snow,Light,2016-01-16 15:34:00,2016-01-16 15:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
23,Snow,Light,2016-01-17 07:55:00,2016-01-17 08:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
24,Snow,Light,2016-01-17 08:35:00,2016-01-17 10:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
25,Snow,Light,2016-01-17 11:55:00,2016-01-17 12:55:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
26,Snow,Light,2016-01-17 13:55:00,2016-01-17 14:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
27,Snow,Light,2016-01-17 14:55:00,2016-01-17 15:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
28,Snow,Light,2016-01-20 13:55:00,2016-01-20 14:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
29,Snow,Light,2016-01-20 22:34:00,2016-01-20 22:55:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
30,Snow,Light,2016-01-21 02:15:00,2016-01-21 02:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
31,Snow,Light,2016-01-24 20:35:00,2016-01-24 21:35:00,0.01,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
32,Snow,Light,2016-01-31 07:55:00,2016-01-31 08:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
33,Snow,Light,2016-01-31 08:55:00,2016-01-31 09:55:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
34,Snow,Light,2016-01-31 10:15:00,2016-01-31 10:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
35,Snow,Light,2016-01-31 11:15:00,2016-01-31 11:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
36,Snow,Light,2016-01-31 12:15:00,2016-01-31 12:55:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
37,Snow,Light,2016-01-31 13:55:00,2016-01-31 15:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
38,Fog,Moderate,2016-01-31 15:35:00,2016-01-31 16:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
39,Snow,Light,2016-01-31 16:15:00,2016-01-31 18:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
40,Snow,Light,2016-02-01 02:15:00,2016-02-01 02:55:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
41,Snow,Light,2016-02-01 03:15:00,2016-02-01 03:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
42,Snow,Light,2016-02-01 04:55:00,2016-02-01 05:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
43,Snow,Light,2016-02-01 05:35:00,2016-02-01 07:35:00,0.03,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
44,Snow,Light,2016-02-01 08:15:00,2016-02-01 12:35:00,0.11,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
45,Snow,Light,2016-02-01 19:15:00,2016-02-01 19:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
